DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20230823,105654.87,,,,,,,,,$PDLM2,120153,+181.6,+6.41,+103.7,+0.53,,,,,,,
20230823,105654.88,,,,,,,,,$PDLM4,120153,+186.4,+30.08,+172.4,+7.39,,,,,,,
20230823,105654.89,,,,,,,,,$PDLMA,+12.42,+37.8,+0.0,-6.6,,,,,,,,
20230823,105655.05,,,,,,,,,$PDLM1,120153,+157.0,+2.12,+59.9,+0.18,,,,,,,
20230823,105655.07,,,,,,,,,$PDLM2,120153,+181.1,+6.42,+104.2,+0.53,,,,,,,
20230823,105655.08,,,,,,,,,$PDLM4,120153,+186.3,+30.10,+173.1,+7.43,,,,,,,
20230823,105655.09,,,,,,,,,$PDLMA,+12.42,+37.8,+0.0,-6.6,,,,,,,,
20230823,105655.25,,,,,,,,,$PDLM1,120153,+156.5,+2.12,+59.7,+0.17,,,,,,,
20230823,105655.27,,,,,,,,,$PDLM2,120153,+181.3,+6.43,+104.3,+0.54,,,,,,,
20230823,105655.28,,,,,,,,,$PDLM4,120153,+186.3,+30.10,+172.8,+7.35,,,,,,,
20230823,105655.45,,,,,,,,,$PDLM1,120153,+156.3,+2.12,+59.9,+0.17,,,,,,,
20230823,105655.47,,,,,,,,,$PDLM2,120153,+181.1,+6.46,+104.3,+0.54,,,,,,,
20230823,105655.48,,,,,,,,,$PDLM4,120153,+186.3,+30.10,+172.6,+7.35,,,,,,,
20230823,105655.65,,,,,,,,,$PDLM1,120153,+156.3,+2.12,+60.0,+0.17,,,,,,,
20230823,105655.67,,,,,,,,,$PDLM2,120153,+180.8,+6.49,+104.0,+0.55,,,,,,,
20230823,105655.69,,,,,,,,,$PDLM4,120153,+186.3,+30.14,+172.7,+7.38,,,,,,,
20230823,105655.86,,,,,,,,,$PDLM1,120154,+156.3,+2.13,+59.9,+0.17,,,,,,,
20230823,105655.87,,,,,,,,,$PDLM2,120154,+180.6,+6.47,+103.5,+0.51,,,,,,,
20230823,105655.89,,,,,,,,,$PDLM4,120154,+186.3,+30.13,+172.6,+7.21,,,,,,,
20230823,105656,42406,2.8147493,51.1388005,2.3,46.8,0,1836,gps,,,,,,,,,,,,,
20230823,105656.06,,,,,,,,,$PDLM1,120154,+156.7,+2.14,+59.5,+0.16,,,,,,,
