,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,geometry,Unnamed: 0,x_clhs,y_clhs,z,t,name,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm
29935,41743.191,204212.896,0.4499999999999999,54461.32999999999,299.7601317370899,241.15632871139724,352.7757697765742,295.42982182364875,400.17994665459554,329.21595260615493,2.1941201875391303,0.2306310976570792,8.529846293771127,1.210246623343819,41.88827492470942,10.089430079779962,POINT (487539.18457315967 5665167.067732416),5166,107720.118,183326.96,26.1909152,40954.67,1,10,6.6,15.16,22.84,42.132,35.028,19.3,3.9,1.617,0.27619,22,25.9,21.7,18.4
29935,41743.191,204212.896,0.4499999999999999,54461.32999999999,299.7601317370899,241.15632871139724,352.7757697765742,295.42982182364875,400.17994665459554,329.21595260615493,2.1941201875391303,0.2306310976570792,8.529846293771127,1.210246623343819,41.88827492470942,10.089430079779962,POINT (487539.18457315967 5665167.067732416),19244,107755.589,183331.1,26.8951584,42473.18,2,10,6.36,6.33,10.27,50.16,39.569,12.2,2.4,1.698,0.25845,14,23.3,16.8,7.5
29935,41743.191,204212.896,0.4499999999999999,54461.32999999999,299.7601317370899,241.15632871139724,352.7757697765742,295.42982182364875,400.17994665459554,329.21595260615493,2.1941201875391303,0.2306310976570792,8.529846293771127,1.210246623343819,41.88827492470942,10.089430079779962,POINT (487539.18457315967 5665167.067732416),22350,107797.402,183278.579,28.4706568,42812.37,3,10,6.6,9.75,14.066,45.87,40.063,17.2,3.4,1.529,0.27,1,25.6,19.5,12.8
29935,41743.191,204212.896,0.4499999999999999,54461.32999999999,299.7601317370899,241.15632871139724,352.7757697765742,295.42982182364875,400.17994665459554,329.21595260615493,2.1941201875391303,0.2306310976570792,8.529846293771127,1.210246623343819,41.88827492470942,10.089430079779962,POINT (487539.18457315967 5665167.067732416),19352,107763.816,183318.112,27.3446688,42491.37,4,10,6.33,5.8,11.237,47.195,41.568,12.8,2.6,1.636,0.26113,13,24.2,14.0,5.6
29935,41743.191,204212.896,0.4499999999999999,54461.32999999999,299.7601317370899,241.15632871139724,352.7757697765742,295.42982182364875,400.17994665459554,329.21595260615493,2.1941201875391303,0.2306310976570792,8.529846293771127,1.210246623343819,41.88827492470942,10.089430079779962,POINT (487539.18457315967 5665167.067732416),1556,107723.005,183309.182,26.586,40592.63,5,10,6.6,16.57,26.081,39.904,34.015,23.0,4.6,1.524,0.28979,9,24.2,20.3,16.8
29935,41743.191,204212.896,0.4499999999999999,54461.32999999999,299.7601317370899,241.15632871139724,352.7757697765742,295.42982182364875,400.17994665459554,329.21595260615493,2.1941201875391303,0.2306310976570792,8.529846293771127,1.210246623343819,41.88827492470942,10.089430079779962,POINT (487539.18457315967 5665167.067732416),14669,107742.651,183330.207,26.664,41906.95,6,10,6.5,9.941,15.97,45.215,38.815,16.8,3.4,1.626,0.30258,16,24.6,23.8,15.5
29935,41743.191,204212.896,0.4499999999999999,54461.32999999999,299.7601317370899,241.15632871139724,352.7757697765742,295.42982182364875,400.17994665459554,329.21595260615493,2.1941201875391303,0.2306310976570792,8.529846293771127,1.210246623343819,41.88827492470942,10.089430079779962,POINT (487539.18457315967 5665167.067732416),23383,107805.822,183273.987,28.65,42915.67,7,10,6.56,9.868,15.173,44.224,40.602,17.8,3.6,1.643,0.23186,2,26.2,15.0,9.4
29935,41743.191,204212.896,0.4499999999999999,54461.32999999999,299.7601317370899,241.15632871139724,352.7757697765742,295.42982182364875,400.17994665459554,329.21595260615493,2.1941201875391303,0.2306310976570792,8.529846293771127,1.210246623343819,41.88827492470942,10.089430079779962,POINT (487539.18457315967 5665167.067732416),15706,107758.685,183312.601,27.35,42107.27,8,10,7.23,6.785,12.324,45.037,42.639,15.5,3.1,1.602,0.25825,405,21.9,16.7,8.8
29935,41743.191,204212.896,0.4499999999999999,54461.32999999999,299.7601317370899,241.15632871139724,352.7757697765742,295.42982182364875,400.17994665459554,329.21595260615493,2.1941201875391303,0.2306310976570792,8.529846293771127,1.210246623343819,41.88827492470942,10.089430079779962,POINT (487539.18457315967 5665167.067732416),22198,107776.692,183310.756,27.5510368,42797.16,9,10,6.56,6.147,11.631,49.871,38.498,12.5,2.5,1.575,0.25897,11,23.9,16.3,7.3
29935,41743.191,204212.896,0.4499999999999999,54461.32999999999,299.7601317370899,241.15632871139724,352.7757697765742,295.42982182364875,400.17994665459554,329.21595260615493,2.1941201875391303,0.2306310976570792,8.529846293771127,1.210246623343819,41.88827492470942,10.089430079779962,POINT (487539.18457315967 5665167.067732416),5128,107726.371,183318.719,26.563,40950.86,10,10,6.56,15.774,25.914,38.833,35.253,25.9,5.2,1.635,0.27443,24,23.3,20.8,18.1
