Z,Resistivity(ohm.m),easting,northing,nb_electrode
-4.9,4.15771,41665.091,204320.014,1.0
-4.7,4.32809,41665.091,204320.014,1.0
-4.6,4.39683,41665.091,204320.014,1.0
-4.5,4.55797,41665.091,204320.014,1.0
-4.4,4.624105,41665.091,204320.014,1.0
-4.3,4.804595,41665.091,204320.014,1.0
-4.2,4.9086549999999995,41665.091,204320.014,1.0
-4.1,5.03614,41665.091,204320.014,1.0
-4.0,5.23313,41665.091,204320.014,1.0
-3.9,5.29982,41665.091,204320.014,1.0
-3.8,5.52076,41665.091,204320.014,1.0
-3.7,5.603705,41665.091,204320.014,1.0
-3.6,5.84865,41665.091,204320.014,1.0
-3.5,5.9687866666666665,41665.091,204320.014,1.0
-3.4,6.15675,41665.091,204320.014,1.0
-3.3,6.397670000000001,41665.091,204320.014,1.0
-3.2,6.576833333333333,41665.091,204320.014,1.0
-3.1,6.856353333333334,41665.091,204320.014,1.0
-3.0,7.062333333333334,41665.091,204320.014,1.0
-2.9,7.406505,41665.091,204320.014,1.0
-2.8,7.519555,41665.091,204320.014,1.0
-2.7,7.852735,41665.091,204320.014,1.0
-2.6,8.134533333333334,41665.091,204320.014,1.0
-2.5,8.347909999999999,41665.091,204320.014,1.0
-2.4,8.719850000000001,41665.091,204320.014,1.0
-2.3,9.039076666666666,41665.091,204320.014,1.0
-2.2,9.42445,41665.091,204320.014,1.0
-2.1,9.915276666666667,41665.091,204320.014,1.0
-2.0,10.24713,41665.091,204320.014,1.0
-1.9,10.770854,41665.091,204320.014,1.0
-1.8,11.463701428571428,41665.091,204320.014,1.0
-1.7,11.9501475,41665.091,204320.014,1.0
-1.6,12.386046,41665.091,204320.014,1.0
-1.5,12.8540825,41665.091,204320.014,1.0
-1.4,13.496588,41665.091,204320.014,1.0
-1.3,14.250860000000001,41665.091,204320.014,1.0
-1.2,14.854486,41665.091,204320.014,1.0
-1.1,15.615480000000002,41665.091,204320.014,1.0
-1.0,15.896148333333334,41665.091,204320.014,1.0
-0.9,16.53484,41665.091,204320.014,1.0
-0.8,17.272740000000002,41665.091,204320.014,1.0
-0.7,17.98478875,41665.091,204320.014,1.0
-0.6,18.5887225,41665.091,204320.014,1.0
-0.5,19.1318375,41665.091,204320.014,1.0
-0.4,19.465102222222225,41665.091,204320.014,1.0
-0.3,19.773496666666666,41665.091,204320.014,1.0
-0.2,19.91172,41665.091,204320.014,1.0
-0.1,20.0475,41665.091,204320.014,1.0
-0.0,19.741195714285713,41665.091,204320.014,1.0
-4.9,4.10085625,41665.283,204319.552,2.0
-4.8,4.18139,41665.283,204319.552,2.0
-4.7,4.285843333333333,41665.283,204319.552,2.0
-4.6,4.386786666666667,41665.283,204319.552,2.0
-4.5,4.507628333333333,41665.283,204319.552,2.0
-4.4,4.592554,41665.283,204319.552,2.0
-4.3,4.766978333333333,41665.283,204319.552,2.0
-4.2,4.8387459999999995,41665.283,204319.552,2.0
-4.1,4.998943333333333,41665.283,204319.552,2.0
-4.0,5.103595,41665.283,204319.552,2.0
-3.9,5.258418333333333,41665.283,204319.552,2.0
-3.8,5.3741125,41665.283,204319.552,2.0
-3.7,5.551607142857143,41665.283,204319.552,2.0
-3.6,5.70804,41665.283,204319.552,2.0
-3.5,5.93302,41665.283,204319.552,2.0
-3.4,6.1102675,41665.283,204319.552,2.0
-3.3,6.312762857142857,41665.283,204319.552,2.0
-3.2,6.518389999999999,41665.283,204319.552,2.0
-3.1,6.725405714285714,41665.283,204319.552,2.0
-3.0,7.028290000000001,41665.283,204319.552,2.0
-2.9,7.258364285714285,41665.283,204319.552,2.0
-2.8,7.49240625,41665.283,204319.552,2.0
-2.7,7.80944,41665.283,204319.552,2.0
-2.6,8.054361666666667,41665.283,204319.552,2.0
-2.5,8.378065,41665.283,204319.552,2.0
-2.4,8.7235175,41665.283,204319.552,2.0
-2.3,9.064378571428572,41665.283,204319.552,2.0
-2.2,9.520943333333333,41665.283,204319.552,2.0
-2.1,9.961125000000001,41665.283,204319.552,2.0
-2.0,10.311031250000001,41665.283,204319.552,2.0
-1.9,10.880334,41665.283,204319.552,2.0
-1.8,11.504323636363637,41665.283,204319.552,2.0
-1.7,11.9692225,41665.283,204319.552,2.0
-1.6,12.517167,41665.283,204319.552,2.0
-1.5,13.130982222222222,41665.283,204319.552,2.0
-1.4,13.777125454545455,41665.283,204319.552,2.0
-1.3,14.493871666666665,41665.283,204319.552,2.0
-1.2,15.311044545454546,41665.283,204319.552,2.0
-1.1,16.0935,41665.283,204319.552,2.0
-1.0,16.510331666666666,41665.283,204319.552,2.0
-0.9,17.290429166666666,41665.283,204319.552,2.0
-0.8,18.120962666666667,41665.283,204319.552,2.0
-0.7,18.96275375,41665.283,204319.552,2.0
-0.6,19.832234375,41665.283,204319.552,2.0
-0.5,20.920163529411766,41665.283,204319.552,2.0
-0.4,21.724071052631576,41665.283,204319.552,2.0
-0.3,22.5522,41665.283,204319.552,2.0
-0.2,23.36707105263158,41665.283,204319.552,2.0
-0.1,24.73546740740741,41665.283,204319.552,2.0
-0.0,23.753229166666667,41665.283,204319.552,2.0
-4.9,3.97209375,41665.475,204319.091,3.0
-4.8,4.18139,41665.475,204319.091,3.0
-4.7,4.148112857142857,41665.475,204319.091,3.0
-4.6,4.30525,41665.475,204319.091,3.0
-4.5,4.353255714285714,41665.475,204319.091,3.0
-4.4,4.466594,41665.475,204319.091,3.0
-4.3,4.608224,41665.475,204319.091,3.0
-4.2,4.70487,41665.475,204319.091,3.0
-4.1,4.82737,41665.475,204319.091,3.0
-4.0,4.960908333333333,41665.475,204319.091,3.0
-3.9,5.070110000000001,41665.475,204319.091,3.0
-3.8,5.25619,41665.475,204319.091,3.0
-3.7,5.372948333333333,41665.475,204319.091,3.0
-3.6,5.541182,41665.475,204319.091,3.0
-3.5,5.776739999999999,41665.475,204319.091,3.0
-3.4,5.857692,41665.475,204319.091,3.0
-3.3,6.111844285714286,41665.475,204319.091,3.0
-3.2,6.32324,41665.475,204319.091,3.0
-3.1,6.522742857142857,41665.475,204319.091,3.0
-3.0,6.80976375,41665.475,204319.091,3.0
-2.9,7.0088099999999995,41665.475,204319.091,3.0
-2.8,7.32866375,41665.475,204319.091,3.0
-2.7,7.561078571428571,41665.475,204319.091,3.0
-2.6,7.87285625,41665.475,204319.091,3.0
-2.5,8.27374,41665.475,204319.091,3.0
-2.4,8.586147777777777,41665.475,204319.091,3.0
-2.3,9.022998571428571,41665.475,204319.091,3.0
-2.2,9.4252625,41665.475,204319.091,3.0
