Z,Resistivity(ohm.m),easting,northing,ID
-4.1,22.66625,107761.108,183310.609,1.0
-3.8,22.46988,107761.108,183310.609,1.0
-3.7,22.36486,107761.108,183310.609,1.0
-3.4,22.14983,107761.108,183310.609,1.0
-3.3,22.04285,107761.108,183310.609,1.0
-3.1,21.8178,107761.108,183310.609,1.0
-3.0,21.68059,107761.108,183310.609,1.0
-2.7,21.4224,107761.108,183310.609,1.0
-2.6,21.65009,107761.108,183310.609,1.0
-2.5,21.63015,107761.108,183310.609,1.0
-2.3,21.68857,107761.108,183310.609,1.0
-2.2,21.77034,107761.108,183310.609,1.0
-1.9,22.197815,107761.108,183310.609,1.0
-1.7,22.97907,107761.108,183310.609,1.0
-1.6,23.40284,107761.108,183310.609,1.0
-1.4,24.46967,107761.108,183310.609,1.0
-1.3,25.14587,107761.108,183310.609,1.0
-1.1,26.85768,107761.108,183310.609,1.0
-1.0,27.81434,107761.108,183310.609,1.0
-0.9,28.95847,107761.108,183310.609,1.0
-0.8,30.600299999999997,107761.108,183310.609,1.0
-0.7,31.3961,107761.108,183310.609,1.0
-0.6,34.051,107761.108,183310.609,1.0
-0.4,37.389385000000004,107761.108,183310.609,1.0
-0.2,40.258165000000005,107761.108,183310.609,1.0
-0.0,39.78365,107761.108,183310.609,1.0
-4.3,22.49214,107761.387,183310.199,2.0
-4.2,22.47594,107761.387,183310.199,2.0
-4.1,22.29879,107761.387,183310.199,2.0
-4.0,22.08989,107761.387,183310.199,2.0
-3.9,21.86997,107761.387,183310.199,2.0
-3.8,21.90927,107761.387,183310.199,2.0
-3.7,21.70252,107761.387,183310.199,2.0
-3.6,21.40381,107761.387,183310.199,2.0
-3.5,21.16198,107761.387,183310.199,2.0
-3.4,21.2722,107761.387,183310.199,2.0
-3.3,20.860025,107761.387,183310.199,2.0
-3.1,20.512369999999997,107761.387,183310.199,2.0
-3.0,20.38201,107761.387,183310.199,2.0
-2.9,19.92463,107761.387,183310.199,2.0
-2.8,19.68462,107761.387,183310.199,2.0
-2.7,19.95396,107761.387,183310.199,2.0
-2.6,19.500935,107761.387,183310.199,2.0
-2.5,19.05073,107761.387,183310.199,2.0
-2.4,19.42765,107761.387,183310.199,2.0
-2.3,19.265483333333332,107761.387,183310.199,2.0
-2.2,19.168365,107761.387,183310.199,2.0
-2.1,19.1333,107761.387,183310.199,2.0
-2.0,19.091406666666668,107761.387,183310.199,2.0
-1.9,19.076340000000002,107761.387,183310.199,2.0
-1.8,19.333815,107761.387,183310.199,2.0
