Z,Resistivity(ohm.m),easting,northing,ID
-4.2,22.83119,107761.108,183310.609,1.0
-4.1,22.70788,107761.108,183310.609,1.0
-3.8,22.41275,107761.108,183310.609,1.0
-3.7,22.242510000000003,107761.108,183310.609,1.0
-3.5,21.45,107761.108,183310.609,1.0
-3.4,22.29904,107761.108,183310.609,1.0
-3.3,21.64551,107761.108,183310.609,1.0
-3.1,21.15212,107761.108,183310.609,1.0
-3.0,20.898670000000003,107761.108,183310.609,1.0
-2.8,20.422345,107761.108,183310.609,1.0
-2.6,20.80734,107761.108,183310.609,1.0
-2.4,19.9119,107761.108,183310.609,1.0
-2.2,20.09931,107761.108,183310.609,1.0
-2.1,20.247795,107761.108,183310.609,1.0
-1.9,22.14185,107761.108,183310.609,1.0
-1.8,20.466315,107761.108,183310.609,1.0
-1.5,22.87615,107761.108,183310.609,1.0
-1.4,21.87111,107761.108,183310.609,1.0
-1.2,24.91721,107761.108,183310.609,1.0
-1.1,26.20727,107761.108,183310.609,1.0
-0.9,28.04876,107761.108,183310.609,1.0
-0.8,29.595545,107761.108,183310.609,1.0
-0.6,33.673285,107761.108,183310.609,1.0
-0.5,36.973355,107761.108,183310.609,1.0
-0.4,40.565945,107761.108,183310.609,1.0
-0.3,41.32096,107761.108,183310.609,1.0
-0.1,43.009956666666675,107761.108,183310.609,1.0
-4.2,22.755489999999998,107761.387,183310.199,2.0
-4.1,22.578924999999998,107761.387,183310.199,2.0
-3.8,22.176645,107761.387,183310.199,2.0
-3.7,21.95173,107761.387,183310.199,2.0
-3.5,21.45,107761.387,183310.199,2.0
-3.4,21.462495,107761.387,183310.199,2.0
-3.3,21.186675,107761.387,183310.199,2.0
-3.1,20.616495,107761.387,183310.199,2.0
-3.0,20.29474,107761.387,183310.199,2.0
-2.8,19.74705,107761.387,183310.199,2.0
-2.7,19.11294,107761.387,183310.199,2.0
-2.6,20.80734,107761.387,183310.199,2.0
-2.5,18.89013,107761.387,183310.199,2.0
-2.4,18.13675,107761.387,183310.199,2.0
-2.2,20.09931,107761.387,183310.199,2.0
-2.1,19.40298,107761.387,183310.199,2.0
-2.0,16.54744,107761.387,183310.199,2.0
