,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos
0,41564.53508,204206.635,33.29944768442482,61.96726522990644,134.05210057764884,132.19196508444142,203.03183937873428,251.43827141679935,362.61757906791075,582.7447747162329,2001
1,41548.70351,204311.6093,33.49646624257229,80.30434377513178,174.09398201204573,169.35678016246038,231.19489878131884,127.36341721988425,214.56889441599463,437.76793379255696,2002
2,41589.68646,204167.8156,10.817672728070518,75.1216564576621,136.7517389736619,220.21054565380206,153.35424719882548,612.3826557267472,450.69081564022173,727.8993660008223,2003
3,41668.92012,204238.2888,32.45567818821752,161.90894093319898,94.1416410453407,237.94951415449535,115.64350900729102,360.60000022455665,602.6818260794173,618.7724523309732,2004
4,41521.64592,204334.5815,17.466345915099016,131.3190006322036,238.07309063437316,234.25963936299084,246.1739380087571,349.92907316635626,489.3329964574644,651.4170149670788,2005
5,41617.05436,204259.0171,23.713883162944942,69.59331315413091,44.91648802904219,136.03542509903303,249.22178021452658,428.8730361668983,478.39454524511075,594.4039688060034,2006
6,41576.95294,204271.2311,24.25877146250008,53.527226783870276,107.40550586879044,176.3772326021776,143.4997143688762,119.55814444695203,324.49787318726123,591.0991235326937,2007
7,41533.54743,204357.0333,46.34384458687194,114.316748283765,131.29036372958362,141.78703444777233,161.72930114899376,179.1460962190652,421.98062674908016,529.3292850765034,2008
8,41642.94946,204299.055,30.342565809844128,107.9017731801078,114.86371077531783,132.28008057854115,325.1471516395907,179.01195424221538,221.19886854269149,430.9821503797546,2009
9,41701.0223,204261.7069,51.44406702519537,57.86895801909699,155.9351620658374,245.88814646039918,208.29335845970112,601.9552101620462,658.9080684585157,719.2776456305206,2010
10,41513.61527,204286.1329,21.73056636509805,168.72142886558944,179.65508500242709,201.35249978499255,213.97919414349212,325.5593665788014,407.0183742353849,598.4924387832364,2011
11,41619.48192,204273.3088,28.75794288947214,45.169691032557026,99.08808789954193,134.3971557337731,138.17260237617037,258.2299349007102,389.05536204690856,347.6191684578224,2012
12,41684.4859,204247.3604,61.03095665753606,139.86102170491625,120.31427121944151,223.88488451626415,194.90205165872828,555.265770929504,847.3871346438069,714.7867467281947,2013
13,41591.14582,204181.2118,15.806716902496444,56.53586131546217,212.12293774739834,177.92699067695284,204.7200030005362,424.18260274995487,466.42384468764857,753.630309106132,2014
14,41563.2081,204364.9004,52.52531597745408,213.64330978412588,180.97588300986897,216.36551824480517,171.6853288880407,345.777470784531,302.64605571782164,632.1743601506628,2015
