,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9979,183326.6793,43.37883454055969,46.54190967967438,143.61023623641466,152.86240585438586,59.195215493274716,1
1,107755.6395,183331.2104,63.46936302662095,72.33025619396972,92.98239128500964,106.56643830254247,55.12208415542384,2
2,107797.4476,183278.6469,90.16614485280196,144.87374998108677,212.92798532710003,167.28926132204813,105.32385214560925,3
3,107764.0831,183318.0822,71.69653860918112,50.054420386962924,120.37108301885597,127.09579559853687,68.12991565646382,4
4,107723.0048,183309.1898,80.47212998320116,104.34883574124328,83.83779736996344,103.26248340976495,57.193967343635414,5
5,107742.871,183330.0981,39.061594868215145,39.68974731205353,137.61809194985824,96.65928983578151,54.79175970177529,6
6,107806.7161,183274.99,83.09800199775971,74.60015819658562,177.4373065313929,195.2982777125686,111.34305050831323,7
7,107758.6659,183312.5732,30.677569936715862,58.57886400815506,95.53602734672025,118.90034182970022,82.15896128568558,8
8,107775.383,183309.8767,57.576433566728944,56.87936876318627,113.19124327406075,106.20339342706325,73.63758409016879,9
9,107726.3815,183318.7508,78.33307628353582,107.58121016870025,148.5320033970426,118.30833594371788,56.26537792095002,10
10,107766.4694,183327.2822,28.57789855482217,40.73862650159844,108.34859407388201,122.83556272979611,102.12467322211667,11
11,107777.0025,183299.3846,55.654865458920405,54.70592641545299,120.19355164638199,115.96680452112467,73.26815867227633,12
12,107752.314,183298.7686,91.1906317223953,36.93724014610616,115.26921496794598,97.29067011346446,80.33466641522101,13
13,107732.7209,183327.4299,68.81094248565758,36.02632394674928,87.74046779311692,112.44971633828388,71.0506980002248,14
14,107776.5235,183291.4178,95.40716958672756,49.240230219071776,111.15712822329841,150.3128535358005,94.08084577649625,15
