,cl,percent,sample_loc,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,TRUE,TRUE,LT,-13.291,0.192,0.71,0.1
1,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,TRUE,TRUE,ID,-11.023,0.176,0.828,0.079
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,TRUE,TRUE,LS,-13.151,0.19,0.703,0.102
0,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,TRUE,FALSE,LT,-13.291,0.192,0.71,0.1
1,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,TRUE,FALSE,ID,-11.023,0.176,0.828,0.079
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,TRUE,FALSE,LS,-13.151,0.19,0.703,0.102
0,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,FALSE,TRUE,LT,-13.291,0.192,0.71,0.1
1,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,FALSE,TRUE,ID,-11.023,0.176,0.828,0.079
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,FALSE,TRUE,LS,-13.151,0.19,0.703,0.102
0,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,FALSE,FALSE,LT,-13.291,0.192,0.71,0.1
1,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,FALSE,FALSE,ID,-11.023,0.176,0.828,0.079
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,TRUE,FALSE,FALSE,LS,-13.151,0.19,0.703,0.102
0,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,TRUE,TRUE,LT,-11.578,0.181,0.454,0.14
1,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,TRUE,TRUE,ID,-11.54,0.176,0.472,0.14
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,TRUE,TRUE,LS,-11.346,0.18,0.414,0.146
0,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,TRUE,FALSE,LT,-11.578,0.181,0.454,0.14
1,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,TRUE,FALSE,ID,-11.54,0.176,0.472,0.14
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,TRUE,FALSE,LS,-11.346,0.18,0.414,0.146
0,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,FALSE,TRUE,LT,-11.578,0.181,0.454,0.14
1,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,FALSE,TRUE,ID,-11.54,0.176,0.472,0.14
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,FALSE,TRUE,LS,-11.346,0.18,0.414,0.146
0,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,FALSE,FALSE,LT,-11.578,0.181,0.454,0.14
1,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,FALSE,FALSE,ID,-11.54,0.176,0.472,0.14
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,FALSE,FALSE,FALSE,LS,-11.346,0.18,0.414,0.146
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,TRUE,TRUE,LT,-16.968,0.212,0.53,0.124
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,TRUE,TRUE,ID,-15.172,0.202,0.662,0.115
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,TRUE,TRUE,LS,-16.834,0.21,0.532,0.126
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,TRUE,FALSE,LT,-16.968,0.212,0.53,0.124
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,TRUE,FALSE,ID,-15.172,0.202,0.662,0.115
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,TRUE,FALSE,LS,-16.834,0.21,0.532,0.126
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,FALSE,TRUE,LT,-16.968,0.212,0.53,0.124
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,FALSE,TRUE,ID,-15.172,0.202,0.662,0.115
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,FALSE,TRUE,LS,-16.834,0.21,0.532,0.126
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,FALSE,FALSE,LT,-16.968,0.212,0.53,0.124
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,FALSE,FALSE,ID,-15.172,0.202,0.662,0.115
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,TRUE,FALSE,FALSE,LS,-16.834,0.21,0.532,0.126
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,FALSE,TRUE,TRUE,LT,-14.928,0.2,0.836,0.076
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,FALSE,TRUE,TRUE,ID,-12.724,0.185,0.955,0.039
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,FALSE,TRUE,TRUE,LS,-15.041,0.2,0.828,0.077
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,FALSE,TRUE,FALSE,LT,-14.928,0.2,0.836,0.076
