x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,geometry,p_ID
107763.971,183306.3268,27.6337591,34539.53,42.49247805,21.5079558,56.98155288,37.65998515,60.25962838,52.42266693,1.459501016,0.274244893,2.803798358,0.050725831,3.197980977,-4.446534053,POINT (553909.4825416066 5645489.694886872),11
107764.2384,183305.9072,27.6477131,34539.33,45.17547791,23.0259774,60.69402286,40.47856826,60.25962838,55.6347918,1.449501016,0.274244893,2.643798358,0.050725831,3.197980977,-4.866534053,POINT (553909.7575881262 5645489.280526833),12
107764.5171,183305.4684,27.65,34539.13,47.70065425,24.1299931,63.47837534,42.8743639,61.34959892,59.38227082,1.449501016,0.264244893,2.593798358,0.080725831,2.997980977,-5.046534053,POINT (553910.0442376911 5645488.84703932),13
107764.5171,183305.4684,27.65,34539.13,47.70065425,24.1299931,63.47837534,42.8743639,61.34959892,59.38227082,1.449501016,0.264244893,2.593798358,0.080725831,2.997980977,-5.046534053,POINT (553910.0442376911 5645488.84703932),14
107764.8731,183304.9038,27.65,34538.89,50.69930115,25.64801469,66.66049246,45.97480532,61.9806345,62.86207276,1.459501016,0.264244893,2.563798358,0.070725831,3.367980977,-4.626534053,POINT (553910.4104550648 5645488.289325517),15
107765.1296,183304.495,27.65,34538.69,54.8027127,28.68405788,68.1189628,50.4845383,61.9806345,66.07419763,1.479501016,0.264244893,2.643798358,0.100725831,3.367980977,-4.296534053,POINT (553910.6744276796 5645487.885496208),16
107765.4129,183304.0435,27.65,34538.49,59.53741834,32.82411676,69.0470803,54.2896255,62.61167007,73.57184002,1.469501016,0.294244893,2.863798358,0.150725831,3.327980977,-4.246239789,POINT (553910.9659527548 5645487.439411765),17
107765.6708,183303.6337,27.65,34538.29,63.32509591,36.68862461,71.43331761,57.52955838,62.61167007,73.57184002,1.469494965,0.294249208,2.924000067,0.140687416,3.327980977,-4.246239789,POINT (553911.2313027381 5645487.034611615),18
107765.967,183303.1659,27.6514014,34538.09,69.48012448,39.44912314,75.54355223,63.44858291,62.49915757,77.5882528,1.479494965,0.284249208,2.904028987,0.110668288,3.238323797,-4.706047891,POINT (553911.535967803 5645486.572514295),19
107766.1928,183302.8097,27.6679334,34537.91,76.26653589,42.89917221,79.78637505,70.49504068,61.81075513,80.5327006,1.479494965,0.274249208,2.924028987,0.090668288,3.398323797,-5.166047891,POINT (553911.768214837 5645486.2207092745),20
107766.4858,183302.3482,27.6955054,34537.71,79.10735927,45.79721343,82.30555111,75.42756113,61.12235268,82.94179426,1.489494965,0.264249208,2.944028987,0.120668288,3.448323797,-5.436047891,POINT (553912.0696391495 5645485.7648326885),21
107766.7664,183301.9085,27.7245174,34537.51,80.36994744,47.72924091,82.96849217,77.96428593,60.83551833,85.21704937,1.479494965,0.274249208,2.934028987,0.170668288,3.498323797,-5.026047891,POINT (553912.3581943623 5645485.330529001),22
107767.0642,183301.4457,27.7453694,34537.31,82.41383867,49.25851476,83.23220628,80.07026375,61.00761894,87.49230449,1.469198996,0.284277289,2.894028987,0.160542356,3.578323797,-4.606047891,POINT (553912.6643765701 5645484.8734574085),23
107767.3639,183300.9853,27.75,34537.11,83.83226176,50.36580548,84.15668136,81.03532962,61.29676256,88.43502877,1.479125253,0.27428716,2.92514673,0.110130386,3.619248663,-4.504911756,POINT (553912.9724801246 5645484.418914882),24
107767.6,183300.6268,27.75,34536.93,83.83226176,51.05644501,84.554446,81.45811709,62.09989875,88.56886731,1.479125253,0.27428716,3.02514673,0.130130386,3.559248663,-4.784911756,POINT (553913.2150676863 5645484.064956336),25
107767.912,183300.1575,27.75,34536.73,83.20096768,50.91844305,84.95221064,80.61254216,63.47670364,89.50573706,1.469125253,0.29428716,3.05514673,0.190130386,3.459248663,-4.844911756,POINT (553913.535614723 5645483.601645865),26
107768.2272,183299.687,27.75,34536.53,84.30573232,49.95242931,87.33879848,80.18975469,64.79614167,90.57644535,1.469125253,0.29428716,3.03514673,0.200130386,3.629248663,-4.684911756,POINT (553913.8593085998 5645483.137197392),27
